ID	token	tag
42302	the	O
42303	wateroaks	O
42304	playing	O
42305	croquet	O
42306	.	O

42307	Mr.	B-PER
42308	Pontellier	O
42309	's	O
42310	two	O
42311	children	O
42312	were	O
42313	there	O
42314	--	O
42315	sturdy	B-PER
42316	little	I-PER
42317	fellows	I-PER
42318	of	I-PER
42319	four	I-PER
42320	and	I-PER
42321	five	I-PER
42322	.	O

42323	A	B-PER
42324	quadroon	I-PER
42325	nurse	I-PER
42326	followed	O
42327	them	O
42328	about	O
42329	with	O
42330	a	O
42331	faraway	O
42332	,	O
42333	meditative	O
42334	air	O
42335	.	O

42336	Mr.	B-PER
42337	Pontellier	O
42338	finally	O
42339	lit	O
42340	a	O
42341	cigar	O
42342	and	O
42343	began	O
42344	to	O
42345	smoke	O
42346	,	O
42347	letting	O
42348	the	O
42349	paper	O
42350	drag	O
42351	idly	O
42352	from	O
42353	his	O
42354	hand	O
42355	.	O

42356	He	O
42357	fixed	O
42358	his	O
42359	gaze	O
42360	upon	O
42361	a	O
42362	white	O
42363	sunshade	O
42364	that	O
42365	was	O
42366	advancing	O
42367	at	O
42368	snail	O
42369	's	O
42370	pace	O
42371	from	O
42372	the	O
42373	beach	O
42374	.	O

42375	He	O
42376	could	O
42377	see	O
42378	it	O
42379	plainly	O
42380	between	O
42381	the	O
42382	gaunt	O
42383	trunks	O
42384	of	O
42385	the	O
42386	water-oaks	O
42387	and	O
42388	across	O
42389	the	O
42390	stretch	O
42391	of	O
42392	yellow	O
42393	camomile	O
42394	.	O

42395	The	B-LOC
42396	gulf	I-LOC
42397	looked	O
42398	far	O
42399	away	O
42400	,	O
42401	melting	O
42402	hazily	O
42403	into	O
42404	the	O
42405	blue	O
42406	of	O
42407	the	B-LOC
42408	horizon	I-LOC
42409	.	O

42410	The	O
42411	sunshade	O
42412	continued	O
42413	to	O
42414	approach	O
42415	slowly	O
42416	.	O

42417	Beneath	O
42418	its	O
42419	pink-lined	O
42420	shelter	O
42421	were	O
42422	his	B-PER
42423	wife	I-PER
42424	,	O
42425	Mrs.	B-PER
42426	Pontellier	O
42427	,	O
42428	and	O
42429	young	O
42430	Robert	B-PER
42431	Lebrun	I-PER
42432	.	O

42433	When	O
42434	they	O
42435	reached	O
42436	the	O
42437	cottage	O
42438	,	O
42439	the	B-PER
42440	two	I-PER
42441	seated	O
42442	themselves	O
42443	with	O
42444	some	O
42445	appearance	O
42446	of	O
42447	fatigue	O
42448	upon	O
42449	the	O
42450	upper	O
42451	step	O
42452	of	O
42453	the	O
42454	porch	O
42455	,	O
42456	facing	O
42457	each	O
42458	other	O
42459	,	O
42460	each	O
42461	leaning	O
42462	against	O
42463	a	O
42464	supporting	O
42465	post	O
42466	.	O

42467	“	O
42468	What	O
42469	folly	O
42470	!	O

42471	to	O
42472	bathe	O
42473	at	O
42474	such	O
42475	an	O
42476	hour	O
42477	in	O
42478	such	O
42479	heat	O
42480	!	O
42481	”	O

42482	exclaimed	O
42483	Mr.	B-PER
42484	Pontellier	O
42485	.	O

42486	He	O
42487	himself	O
42488	had	O
42489	taken	O
42490	a	O
42491	plunge	O
42492	at	O
42493	daylight	O
42494	.	O

42495	That	O
42496	was	O
42497	why	O
42498	the	O
42499	morning	O
42500	seemed	O
42501	long	O
42502	to	O
42503	him	O
42504	.	O

42505	“	O
42506	You	O
42507	are	O
42508	burnt	O
42509	beyond	O
42510	recognition	O
42511	,	O
42512	”	O
42513	he	O
42514	added	O
42515	,	O
42516	looking	O
42517	at	O
42518	his	B-PER
42519	wife	I-PER
42520	as	O
42521	one	O
42522	looks	O
42523	at	O
42524	a	O
42525	valuable	O
42526	piece	O
42527	of	O
42528	personal	O
42529	property	O
42530	which	O
42531	has	O
42532	suffered	O
42533	some	O
42534	damage	O
42535	.	O

42536	She	O
42537	held	O
42538	up	O
42539	her	O
42540	hands	O
42541	,	O
42542	strong	O
42543	,	O
42544	shapely	O
42545	hands	O
42546	,	O
42547	and	O
42548	surveyed	O
42549	them	O
42550	critically	O
42551	,	O
42552	drawing	O
42553	up	O
42554	her	O
42555	fawn	O
42556	sleeves	O
42557	above	O
42558	the	O
42559	wrists	O
42560	.	O

42561	Looking	O
42562	at	O
42563	them	O
42564	reminded	O
42565	her	O
42566	of	O
42567	her	O
42568	rings	O
42569	,	O
42570	which	O
42571	she	O
42572	had	O
42573	given	O
42574	to	O
42575	her	B-PER
42576	husband	I-PER
42577	before	O
42578	leaving	O
42579	for	O
42580	the	B-LOC
42581	beach	I-LOC
42582	.	O

42583	She	O
42584	silently	O
42585	reached	O
42586	out	O
42587	to	O
42588	him	O
42589	,	O
42590	and	O
42591	he	O
42592	,	O
42593	understanding	O
42594	,	O
42595	took	O
42596	the	O
42597	rings	O
42598	from	O
42599	his	O
42600	vest	O
42601	pocket	O
42602	and	O
42603	dropped	O
42604	them	O
42605	into	O
42606	her	O
42607	open	O
42608	palm	O
42609	.	O

42610	She	O
42611	slipped	O
42612	them	O
42613	upon	O
42614	her	O
42615	fingers	O
42616	;	O
42617	then	O
42618	clasping	O
42619	her	O
42620	knees	O
42621	,	O
42622	she	O
42623	looked	O
42624	across	O
42625	at	O
42626	Robert	B-PER
42627	and	O
42628	began	O
42629	to	O
42630	laugh	O
42631	.	O

42632	The	O
42633	rings	O
42634	sparkled	O
42635	upon	O
42636	her	O
42637	fingers	O
42638	.	O

42639	He	O
42640	sent	O
42641	back	O
42642	an	O
42643	answering	O
42644	smile	O
42645	.	O

42646	“	O
42647	What	O
42648	is	O
42649	it	O
42650	?	O
42651	”	O

42652	asked	O
42653	Pontellier	B-PER
42654	,	O
42655	looking	O
42656	lazily	O
42657	and	O
42658	amused	O
42659	from	O
42660	one	B-PER
42661	to	O
42662	the	B-PER
42663	other	I-PER
42664	.	O

42665	It	O
42666	was	O
42667	some	O
42668	utter	O
42669	nonsense	O
42670	;	O
42671	some	O
42672	adventure	O
42673	out	O
42674	there	B-LOC
42675	in	O
42676	the	O
42677	water	O
42678	,	O
42679	and	O
42680	they	O
42681	both	O
42682	tried	O
42683	to	O
42684	relate	O
42685	it	O
42686	at	O
42687	once	O
42688	.	O

42689	It	O
42690	did	O
42691	not	O
42692	seem	O
42693	half	O
42694	so	O
42695	amusing	O
42696	when	O
42697	told	O
42698	.	O

42699	They	O
42700	realized	O
42701	this	O
42702	,	O
42703	and	O
42704	so	O
42705	did	O
42706	Mr.	B-PER
42707	Pontellier	O
42708	.	O

42709	He	O
42710	yawned	O
42711	and	O
42712	stretched	O
42713	himself	O
42714	.	O

42715	Then	O
42716	he	O
42717	got	O
42718	up	O
42719	,	O
42720	saying	O
42721	he	O
42722	had	O
42723	half	O
42724	a	O
42725	mind	O
42726	to	O
42727	go	O
42728	over	O
42729	to	O
42730	Klein	B-PER
42731	's	O
42732	hotel	O
42733	and	O
42734	play	O
42735	a	O
42736	game	O
42737	of	O
42738	billiards	O
42739	.	O

42740	“	O
42741	Come	O
42742	go	O
42743	along	O
42744	,	O
42745	Lebrun	B-PER
42746	,	O
42747	”	O
42748	he	O
42749	proposed	O
42750	to	O
42751	Robert	B-PER
42752	.	O

42753	But	O
42754	Robert	B-PER
42755	admitted	O
42756	quite	O
42757	frankly	O
42758	that	O
42759	he	O
42760	preferred	O
42761	to	O
42762	stay	O
42763	where	O
42764	he	O
42765	was	O
42766	and	O
42767	talk	O
42768	to	O
42769	Mrs.	B-PER
42770	Pontellier	O
42771	.	O

42772	“	O
42773	Well	O
42774	,	O
42775	send	O
42776	him	O
42777	about	O
42778	his	O
42779	business	O
42780	when	O
42781	he	O
42782	bores	O
42783	you	O
42784	,	O
42785	Edna	B-PER
42786	,	O
42787	”	O
42788	instructed	O
42789	her	B-PER
42790	husband	I-PER
42791	as	O
42792	he	O
42793	prepared	O
42794	to	O
42795	leave	O
42796	.	O

42797	“	O
42798	Here	O
42799	,	O
42800	take	O
42801	the	O
42802	umbrella	O
42803	,	O
42804	”	O
42805	she	O
42806	exclaimed	O
42807	,	O
42808	holding	O
42809	it	O
42810	out	O
42811	to	O
42812	him	O
42813	.	O

42814	He	O
42815	accepted	O
42816	the	O
42817	sunshade	O
42818	,	O
42819	and	O
42820	lifting	O
42821	it	O
42822	over	O
42823	his	O
42824	head	O
42825	descended	O
42826	the	O
42827	steps	O
42828	and	O
42829	walked	O
42830	away	O
42831	.	O

42832	“	O
42833	Coming	O
42834	back	O
42835	to	O
42836	dinner	O
42837	?	O
42838	”	O

42839	his	B-PER
42840	wife	I-PER
42841	called	O
42842	after	O
42843	him	O
42844	.	O

42845	He	O
42846	halted	O
42847	a	O
42848	moment	O
42849	and	O
42850	shrugged	O
42851	his	O
42852	shoulders	O
42853	.	O

42854	He	O
42855	felt	O
42856	in	O
42857	his	O
42858	vest	O
42859	pocket	O
42860	;	O
42861	there	O
42862	was	O
42863	a	O
42864	ten-dollar	O
42865	bill	O
42866	there	O
42867	.	O

42868	He	O
42869	did	O
42870	not	O
42871	know	O
42872	;	O
42873	perhaps	O
42874	he	O
42875	would	O
42876	return	O
42877	for	O
42878	the	O
42879	early	O
42880	dinner	O
42881	and	O
42882	perhaps	O
42883	he	O
42884	would	O
42885	not	O
42886	.	O

42887	It	O
42888	all	O
42889	depended	O
42890	upon	O
42891	the	O
42892	company	O
42893	which	O
42894	he	O
42895	found	O
42896	over	O
42897	at	O
42898	Klein	B-PER
42899	's	O
42900	and	O
42901	the	O
42902	size	O
42903	of	O
42904	“	O
42905	the	O
42906	game	O
42907	.	O
42908	”	O

42909	He	O
42910	did	O
42911	not	O
42912	say	O
42913	this	O
42914	,	O
42915	but	O
42916	she	O
42917	understood	O
42918	it	O
42919	,	O
42920	and	O
42921	laughed	O
42922	,	O
42923	nodding	O
42924	good-by	O
42925	to	O
42926	him	O
42927	.	O

42928	Both	B-PER
42929	children	I-PER
42930	wanted	O
42931	to	O
42932	follow	O
42933	their	B-PER
42934	father	I-PER
42935	when	O
42936	they	O
42937	saw	O
42938	him	O
42939	starting	O
42940	out	O
42941	.	O

42942	He	O
42943	kissed	O
42944	them	O
42945	and	O
42946	promised	O
42947	to	O
42948	bring	O
42949	them	O
42950	back	O
42951	bonbons	O
42952	and	O
42953	peanuts	O
42954	.	O

42955	II	O
42956	Mrs.	B-PER
42957	Pontellier	O
42958	's	O
42959	eyes	O
42960	were	O
42961	quick	O
42962	and	O
42963	bright	O
42964	;	O
42965	they	O
42966	were	O
42967	a	O
42968	yellowish	O
42969	brown	O
42970	,	O
42971	about	O
42972	the	O
42973	color	O
42974	of	O
42975	her	O
42976	hair	O
42977	.	O

42978	She	O
42979	had	O
42980	a	O
42981	way	O
42982	of	O
42983	turning	O
42984	them	O
42985	swiftly	O
42986	upon	O
42987	an	O
42988	object	O
42989	and	O
42990	holding	O
42991	them	O
42992	there	O
42993	as	O
42994	if	O
42995	lost	O
42996	in	O
42997	some	O
42998	inward	O
42999	maze	O
43000	of	O
43001	contemplation	O
43002	or	O
43003	thought	O
43004	.	O

43005	Her	O
43006	eyebrows	O
43007	were	O
43008	a	O
43009	shade	O
43010	darker	O
43011	than	O
43012	her	O
43013	hair	O
43014	.	O

43015	They	O
43016	were	O
43017	thick	O
43018	and	O
43019	almost	O
43020	horizontal	O
43021	,	O
43022	emphasizing	O
43023	the	O
43024	depth	O
43025	of	O
43026	her	O
43027	eyes	O
43028	.	O

43029	She	O
43030	was	O
43031	rather	O
43032	handsome	O
43033	than	O
43034	beautiful	O
43035	.	O

43036	Her	O
43037	face	O
43038	was	O
43039	captivating	O
43040	by	O
43041	reason	O
43042	of	O
43043	a	O
43044	certain	O
43045	frankness	O
43046	of	O
43047	expression	O
43048	and	O
43049	a	O
43050	contradictory	O
43051	subtle	O
43052	play	O
43053	of	O
43054	features	O
43055	.	O

43056	Her	O
43057	manner	O
43058	was	O
43059	engaging	O
43060	.	O

43061	Robert	B-PER
43062	rolled	O
43063	a	O
43064	cigarette	O
43065	.	O

43066	He	O
43067	smoked	O
43068	cigarettes	O
43069	because	O
43070	he	O
43071	could	O
43072	not	O
43073	afford	O
43074	cigars	O
43075	,	O
43076	he	O
43077	said	O
43078	.	O

43079	He	O
43080	had	O
43081	a	O
43082	cigar	O
43083	in	O
43084	his	O
43085	pocket	O
43086	which	O
43087	Mr.	B-PER
43088	Pontellier	O
43089	had	O
43090	presented	O
43091	him	O
43092	with	O
43093	,	O
43094	and	O
43095	he	O
43096	was	O
43097	saving	O
43098	it	O
43099	for	O
43100	his	O
43101	after-dinner	O
43102	smoke	O
43103	.	O

43104	This	O
43105	seemed	O
43106	quite	O
43107	proper	O
43108	and	O
43109	natural	O
43110	on	O
43111	his	O
43112	part	O
43113	.	O

43114	In	O
43115	coloring	O
43116	he	O
43117	was	O
43118	not	O
43119	unlike	O
43120	his	B-PER
43121	companion	I-PER
43122	.	O

43123	A	O
43124	clean-shaved	O
43125	face	O
43126	made	O
43127	the	O
43128	resemblance	O
43129	more	O
43130	pronounced	O
43131	than	O
43132	it	O
43133	would	O
43134	otherwise	O
43135	have	O
43136	been	O
43137	.	O

43138	There	O
43139	rested	O
43140	no	O
43141	shadow	O
43142	of	O
43143	care	O
43144	upon	O
43145	his	O
43146	open	O
43147	countenance	O
43148	.	O

43149	His	O
43150	eyes	O
43151	gathered	O
43152	in	O
43153	and	O
43154	reflected	O
43155	the	O
43156	light	O
43157	and	O
43158	languor	O
43159	of	O
43160	the	O
43161	summer	O
43162	day	O
43163	.	O

43164	Mrs.	B-PER
43165	Pontellier	O
43166	reached	O
43167	over	O
43168	for	O
43169	a	O
43170	palm-leaf	O
43171	fan	O
43172	that	O
43173	lay	O
43174	on	O
43175	the	O
43176	porch	O
43177	and	O
43178	began	O
43179	to	O
43180	fan	O
43181	herself	O
43182	,	O
43183	while	O
43184	Robert	B-PER
43185	sent	O
43186	between	O
43187	his	O
43188	lips	O
43189	light	O
43190	puffs	O
43191	from	O
43192	his	O
43193	cigarette	O
43194	.	O

43195	They	O
43196	chatted	O
43197	incessantly	O
43198	:	O
43199	about	O
43200	the	O
43201	things	O
43202	around	O
43203	them	O
43204	;	O
43205	their	O
43206	amusing	O
43207	adventure	O
43208	out	O
43209	in	O
43210	the	O
43211	water	O
43212	--	O
43213	it	O
43214	had	O
43215	again	O
43216	assumed	O
43217	its	O
43218	entertaining	O
43219	aspect	O
43220	;	O
43221	about	O
43222	the	O
43223	wind	O
43224	,	O
43225	the	O
43226	trees	O
43227	,	O
43228	the	O
43229	people	O
43230	who	O
43231	had	O
43232	gone	O
43233	to	O
43234	the	B-LOC
43235	Cheniere	I-LOC
43236	;	O
43237	about	O
43238	the	B-PER
43239	children	I-PER
43240	playing	I-PER
43241	croquet	I-PER
43242	under	I-PER
43243	the	I-PER
43244	oaks	I-PER
43245	,	O
43246	and	O
43247	the	B-PER
43248	Farival	I-PER
43249	twins	I-PER
43250	,	O
43251	who	O
43252	were	O
43253	now	O
43254	performing	O
43255	the	O
43256	overture	O
43257	to	O
43258	“	O
43259	The	B-PER
43260	Poet	I-PER
43261	and	O
43262	the	B-PER
43263	Peasant	I-PER
43264	.	O
43265	”	O

43266	Robert	B-PER
43267	talked	O
43268	a	O
43269	good	O
43270	deal	O
43271	about	O
43272	himself	O
43273	.	O

43274	He	O
43275	was	O
43276	very	O
43277	young	O
43278	,	O
43279	and	O
43280	did	O
43281	not	O
43282	know	O
43283	any	O
43284	better	O
43285	.	O

43286	Mrs.	B-PER
43287	Pontellier	O
43288	talked	O
43289	a	O
43290	little	O
43291	about	O
43292	herself	O
43293	for	O
43294	the	O
43295	same	O
43296	reason	O
43297	.	O

43298	Each	B-PER
43299	was	O
43300	interested	O
43301	in	O
43302	what	O
43303	the	B-PER
43304	other	I-PER
43305	said	O
43306	.	O

43307	Robert	B-PER
43308	spoke	O
43309	of	O
43310	his	O
43311	intention	O
43312	to	O
43313	go	O
43314	to	O
43315	Mexico	B-LOC
43316	in	O
43317	the	O
43318	autumn	O
43319	,	O
43320	where	B-LOC
43321	fortune	I-LOC
43322	awaited	I-LOC
43323	him	I-LOC
43324	.	O

43325	He	O
43326	was	O
43327	always	O
43328	intending	O
43329	to	O
43330	go	O
43331	to	O
43332	Mexico	O
43333	,	O
43334	but	O
43335	some	O
43336	way	O
43337	never	O
43338	got	O
43339	there	B-LOC
43340	.	O

43341	Meanwhile	O
43342	he	O
43343	held	O
43344	on	O
43345	to	O
43346	his	O
43347	modest	O
43348	position	O
43349	in	O
43350	a	O
43351	mercantile	O
43352	house	O
43353	in	O
43354	New	B-LOC
43355	Orleans	I-LOC
43356	,	O
43357	where	O
43358	an	O
43359	equal	O
43360	familiarity	O
43361	with	O
43362	English	O
43363	,	O
43364	French	O
43365	and	O
43366	Spanish	O
43367	gave	O
43368	him	O
43369	no	O
43370	small	O
43371	value	O
43372	as	O
43373	a	B-PER
43374	clerk	I-PER
43375	and	O
43376	correspondent	B-PER
43377	.	O

43378	He	O
43379	was	O
43380	spending	O
43381	his	O
43382	summer	O
43383	vacation	O
43384	,	O
43385	as	O
43386	he	O
43387	always	O
43388	did	O
43389	,	O
43390	with	O
43391	his	B-PER
43392	mother	I-PER
43393	at	O
43394	Grand	B-LOC
43395	Isle	I-LOC
43396	.	O

43397	In	O
43398	former	O
43399	times	O
43400	,	O
43401	before	O
43402	Robert	B-PER
43403	could	O
43404	remember	O
43405	,	O
43406	“	O
43407	the	O
43408	house	O
43409	”	O
43410	had	O
43411	been	O
43412	a	O
43413	summer	O
43414	luxury	O
43415	of	O
43416	the	B-PER
43417	Lebruns	I-PER
43418	.	O

43419	Now	O
43420	,	O
43421	flanked	O
43422	by	O
43423	its	O
43424	dozen	O
43425	or	O
43426	more	O
43427	cottages	O
43428	,	O
43429	which	O
43430	were	O
43431	always	O
43432	filled	O
43433	with	O
43434	exclusive	O
43435	visitors	O
43436	from	O
43437	the	B-LOC
43438	“	I-LOC
43439	Quartier	I-LOC
43440	Francais	I-LOC
43441	,	I-LOC
43442	”	I-LOC
43443	it	O
43444	enabled	O
43445	Madame	B-PER
43446	Lebrun	O
43447	to	O
43448	maintain	O
43449	the	O
43450	easy	O
43451	and	O
43452	comfortable	O
43453	existence	O
43454	which	O
43455	appeared	O
43456	to	O
43457	be	O
43458	her	O
43459	birthright	O
43460	.	O

43461	Mrs.	B-PER
43462	Pontellier	O
43463	talked	O
43464	about	O
43465	her	B-PER
43466	father	I-PER
43467	's	O
43468	Mississippi	B-LOC
43469	plantation	O
43470	and	O
43471	her	O
43472	girlhood	O
43473	home	O
43474	in	O
43475	the	B-LOC
43476	old	I-LOC
43477	Kentucky	I-LOC
43478	bluegrass	I-LOC
43479	country	I-LOC
43480	.	O

43481	She	O
43482	was	O
43483	an	B-PER
43484	American	I-PER
43485	woman	I-PER
43486	,	I-PER
43487	with	I-PER
43488	a	I-PER
43489	small	I-PER
43490	infusion	I-PER
43491	of	I-PER
43492	French	I-PER
43493	which	I-PER
43494	seemed	I-PER
43495	to	I-PER
43496	have	I-PER
43497	been	I-PER
43498	lost	I-PER
43499	in	I-PER
43500	dilution	I-PER
43501	.	O

43502	She	O
43503	read	O
43504	a	O
43505	letter	O
43506	from	O
43507	her	O
43508	sister	O
43509	,	O
43510	who	O
43511	was	O
43512	away	O
43513	in	O
43514	the	B-LOC
43515	East	I-LOC
43516	,	O
43517	and	O
43518	who	O
43519	had	O
43520	engaged	O
43521	herself	O
43522	to	O
43523	be	O
43524	married	O
43525	.	O

43526	Robert	B-PER
43527	was	O
43528	interested	O
43529	,	O
43530	and	O
43531	wanted	O
43532	to	O
43533	know	O
43534	what	O
43535	manner	O
43536	of	O
43537	girls	B-PER
43538	the	B-PER
43539	sisters	I-PER
43540	were	O
43541	,	O
43542	what	O
43543	the	B-PER
43544	father	I-PER
43545	was	O
43546	like	O
43547	,	O
43548	and	O
43549	how	O
43550	long	O
43551	the	B-PER
43552	mother	I-PER
43553	had	O
43554	been	O
43555	dead	O
43556	.	O

43557	When	O
43558	Mrs.	B-PER
43559	Pontellier	O
43560	folded	O
43561	the	O
43562	letter	O
43563	it	O
43564	was	O
43565	time	O
43566	for	O
43567	her	O
43568	to	O
43569	dress	O
43570	for	O
43571	the	O
43572	early	O
43573	dinner	O
43574	.	O

43575	“	O
43576	I	O
43577	see	O
43578	Leonce	B-PER
43579	is	O
43580	n't	O
43581	coming	O
43582	back	O
43583	,	O
43584	”	O
43585	she	O
43586	said	O
43587	,	O
43588	with	O
43589	a	O
43590	glance	O
43591	in	O
43592	the	O
43593	direction	O
43594	whence	O
43595	her	B-PER
43596	husband	I-PER
43597	had	O
43598	disappeared	O
43599	.	O

43600	Robert	B-PER
43601	supposed	O
43602	he	O
43603	was	O
43604	not	O
43605	,	O
43606	as	O
43607	there	O
43608	were	O
43609	a	O
43610	good	O
43611	many	O
43612	New	B-LOC
43613	Orleans	I-LOC
43614	club	O
43615	men	O
43616	over	O
43617	at	O
43618	Klein	B-PER
43619	's	O
43620	.	O

43621	When	O
43622	Mrs.	B-PER
43623	Pontellier	O
43624	left	O
43625	him	O
43626	to	O
43627	enter	O
43628	her	O
43629	room	O
43630	,	O
43631	the	B-PER
43632	young	I-PER
43633	man	I-PER
43634	descended	O
43635	the	O
43636	steps	O
43637	and	O
43638	strolled	O
43639	over	O
43640	toward	O
43641	the	B-PER
43642	croquet	I-PER
43643	players	I-PER
43644	,	O
43645	where	O
43646	,	O
43647	during	O
43648	the	O
43649	half-hour	O
43650	before	O
43651	dinner	O
43652	,	O
43653	he	O
43654	amused	O
43655	himself	O
43656	with	O
43657	the	B-PER
43658	little	I-PER
43659	Pontellier	I-PER
43660	children	I-PER
43661	,	I-PER
43662	who	I-PER
43663	were	I-PER
43664	very	I-PER
43665	fond	I-PER
43666	of	I-PER
43667	him	I-PER
43668	.	O

43669	III	O
43670	It	O
43671	was	O
43672	eleven	O
43673	o'clock	O
43674	that	O
43675	night	O
43676	when	O
43677	Mr.	B-PER
43678	Pontellier	O
43679	returned	O
43680	from	O
43681	Klein	B-PER
43682	's	O
43683	hotel	O
43684	.	O

43685	He	O
43686	was	O
43687	in	O
43688	an	O
43689	excellent	O
43690	humor	O
43691	,	O
43692	in	O
43693	high	O
43694	spirits	O
43695	,	O
43696	and	O
43697	very	O
43698	talkative	O
43699	.	O

43700	His	O
43701	entrance	O
43702	awoke	O
43703	his	B-PER
43704	wife	I-PER
43705	,	O
43706	who	O
43707	was	O
43708	in	O
43709	bed	O
43710	and	O
43711	fast	O
43712	asleep	O
43713	when	O
43714	he	O
43715	came	O
43716	in	O
43717	.	O

43718	He	O
43719	talked	O
43720	to	O
43721	her	O
43722	while	O
43723	he	O
43724	undressed	O
43725	,	O
43726	telling	O
43727	her	O
43728	anecdotes	O
43729	and	O
43730	bits	O
43731	of	O
43732	news	O
43733	and	O
43734	gossip	O
43735	that	O
43736	he	O
43737	had	O
43738	gathered	O
43739	during	O
43740	the	O
43741	day	O
43742	.	O

43743	From	O
43744	his	O
43745	trousers	O
43746	pockets	O
43747	he	O
43748	took	O
43749	a	O
43750	fistful	O
43751	of	O
43752	crumpled	O
43753	bank	O
43754	notes	O
43755	and	O
43756	a	O
43757	good	O
43758	deal	O
43759	of	O
43760	silver	O
43761	coin	O
43762	,	O
43763	which	O
43764	he	O
43765	piled	O
43766	on	O
43767	the	O
43768	bureau	O
43769	indiscriminately	O
43770	with	O
43771	keys	O
43772	,	O
43773	knife	O
43774	,	O
43775	handkerchief	O
43776	,	O
43777	and	O
43778	whatever	O
43779	else	O
43780	happened	O
43781	to	O
43782	be	O
43783	in	O
43784	his	O
43785	pockets	O
43786	.	O

43787	She	O
43788	was	O
43789	overcome	O
43790	with	O
43791	sleep	O
43792	,	O
43793	and	O
43794	answered	O
43795	him	O
43796	with	O
43797	little	O
43798	half	O
43799	utterances	O
43800	.	O

43801	CHAPTER	O
43802	I	O
43803	JONATHAN	B-PER
43804	HARKER	I-PER
43805	'S	O
43806	JOURNAL	O
43807	(	O
43808	_	O
43809	Kept	O
43810	in	O
43811	shorthand	O
43812	.	O

43813	_	O
43814	)	O
43815	_	O
43816	3	O
43817	May	O
43818	.	O

43819	Bistritz	B-LOC
43820	.	O

43821	_	O
43822	--	O
43823	Left	O
43824	Munich	B-LOC
43825	at	O
43826	8:35	O
43827	P.	O
43828	M.	O
43829	,	O
43830	on	O
43831	1st	O
43832	May	O
43833	,	O
43834	arriving	O
43835	at	O
43836	Vienna	B-LOC
43837	early	O
43838	next	O
43839	morning	O
43840	;	O
43841	should	O
43842	have	O
43843	arrived	O
43844	at	O
43845	6:46	O
43846	,	O
43847	but	O
43848	train	O
43849	was	O
43850	an	O
43851	hour	O
43852	late	O
43853	.	O

43854	Buda-Pesth	B-LOC
43855	seems	O
43856	a	B-LOC
43857	wonderful	I-LOC
43858	place	I-LOC
43859	,	O
43860	from	O
43861	the	O
43862	glimpse	O
43863	which	O
43864	I	O
43865	got	O
43866	of	O
43867	it	O
43868	from	O
43869	the	O
43870	train	O
43871	and	O
43872	the	O
43873	little	O
43874	I	O
43875	could	O
43876	walk	O
43877	through	O
43878	the	O
43879	streets	O
43880	.	O

43881	I	O
43882	feared	O
43883	to	O
43884	go	O
43885	very	O
43886	far	O
43887	from	O
43888	the	O
43889	station	O
43890	,	O
43891	as	O
43892	we	O
43893	had	O
43894	arrived	O
43895	late	O
43896	and	O
43897	would	O
43898	start	O
43899	as	O
43900	near	O
43901	the	O
43902	correct	O
43903	time	O
43904	as	O
43905	possible	O
43906	.	O

43907	The	O
43908	impression	O
43909	I	O
43910	had	O
43911	was	O
43912	that	O
43913	we	O
43914	were	O
43915	leaving	O
43916	the	B-LOC
43917	West	I-LOC
43918	and	O
43919	entering	O
43920	the	B-LOC
43921	East	I-LOC
43922	;	O
43923	the	O
43924	most	O
43925	western	O
43926	of	O
43927	splendid	O
43928	bridges	O
43929	over	O
43930	the	B-LOC
43931	Danube	I-LOC
43932	,	O
43933	which	O
43934	is	O
43935	here	O
43936	of	O
43937	noble	O
43938	width	O
43939	and	O
43940	depth	O
43941	,	O
43942	took	O
43943	us	O
43944	among	O
43945	the	O
43946	traditions	O
43947	of	O
43948	Turkish	O
43949	rule	O
43950	.	O

43951	We	O
43952	left	O
43953	in	O
43954	pretty	O
43955	good	O
43956	time	O
43957	,	O
43958	and	O
43959	came	O
43960	after	O
43961	nightfall	O
43962	to	O
43963	Klausenburgh	B-LOC
43964	.	O

43965	Here	O
43966	I	O
43967	stopped	O
43968	for	O
43969	the	O
43970	night	O
43971	at	O
43972	the	O
43973	Hotel	O
43974	Royale	O
43975	.	O

43976	I	O
43977	had	O
43978	for	O
43979	dinner	O
43980	,	O
43981	or	O
43982	rather	O
43983	supper	O
43984	,	O
43985	a	O
43986	chicken	O
43987	done	O
43988	up	O
43989	some	O
43990	way	O
43991	with	O
43992	red	O
43993	pepper	O
43994	,	O
43995	which	O
43996	was	O
43997	very	O
43998	good	O
43999	but	O
44000	thirsty	O
44001	.	O

44002	(	O
44003	_	O
44004	Mem	O
44005	.	O

44006	_	O
44007	,	O
44008	get	O
44009	recipe	O
44010	for	O
44011	Mina	B-PER
44012	.	O
44013	)	O

44014	I	O
44015	asked	O
44016	the	B-PER
44017	waiter	I-PER
44018	,	O
44019	and	O
44020	he	O
44021	said	O
44022	it	O
44023	was	O
44024	called	O
44025	""""	O
44026	paprika	O
44027	hendl	O
44028	,	O
44029	""""	O
44030	and	O
44031	that	O
44032	,	O
44033	as	O
44034	it	O
44035	was	O
44036	a	O
44037	national	O
44038	dish	O
44039	,	O
44040	I	O
44041	should	O
44042	be	O
44043	able	O
44044	to	O
44045	get	O
44046	it	O
